Generation,Red,Green
0,-0.9785872,-0.9063204
1,-0.019824898,0.01873634
2,0.124769926,0.12541012
3,0.18690374,0.16645977
4,0.21360116,0.27946866
5,0.32802567,0.2661412
6,0.35376328,0.3626311
7,0.51422966,0.4474861
8,0.57807124,0.67312104
9,0.61671185,0.80112076
10,0.6804744,0.89586115
11,0.7216069,0.98499817
12,0.8007227,0.9498123
13,0.77186114,0.89930755
14,0.8671921,0.8725485
15,0.8549243,0.9187896
16,0.9588081,0.7567901
17,1.0387504,0.70800596
18,1.0526625,0.7329319
19,1.1163263,0.7001113
20,1.1140612,0.73348206
21,1.073658,0.7370603
22,1.1230035,0.68257105
23,1.1274878,0.70973486
24,1.0835267,0.7252998
25,1.0965291,0.7545135
26,1.0815165,0.7956067
27,1.0948343,0.871066
28,1.0732033,0.88962966
29,0.9818252,0.891816
30,1.0144445,0.9339209
31,0.9308878,0.9540057
32,0.9019855,0.98966944
33,0.89801115,0.9836085
34,0.8500519,0.9399731
35,0.7284581,1.1890298
36,0.8207184,1.1210705
37,0.7912331,1.2082686
38,0.8626771,1.1886655
39,0.8488723,1.1512097
40,0.8768541,1.2189692
41,0.88096994,1.2625208
42,0.9427315,1.2334777
43,0.97086436,1.165174
44,0.95235944,1.4307365
45,0.991051,1.2579612
46,1.1041627,1.2276801
47,1.0975645,1.411784
48,1.1709038,1.308284
49,1.2006557,1.2683609
50,1.2007964,1.3876582
51,1.2189846,1.3312422
52,1.3065364,1.3532362
53,1.298274,1.3500626
54,1.2618281,1.4083512
55,1.2798226,1.226536
56,1.2746835,1.2463707
57,1.2682927,1.193238
58,1.2760767,1.2354506
59,1.3625301,1.3224548
60,1.3740138,1.2393367
61,1.3611735,1.315759
62,1.4881428,1.3077617
63,1.6384941,1.2618337
64,2.0136473,1.3614212
65,2.1976874,1.3346622
66,2.4868743,1.2957108
67,2.8968592,1.3997144
68,3.042981,1.250525
69,3.2216952,1.3827348
70,3.5861096,1.5354989
71,3.0387483,1.4757104
72,2.981502,1.49416
73,3.063152,1.5938762
74,2.9929895,1.4991853
75,2.9828916,1.5276549
76,3.0669012,1.6505764
77,3.0974667,1.5815145
78,3.0969305,1.6469429
79,3.104807,1.758499
80,3.0988965,1.8804137
81,3.0832489,1.6822412
82,3.1263955,1.8818265
83,3.172747,1.8113165
84,3.2048993,1.9296805
85,3.1988108,1.9528047
86,3.2307372,1.8701491
87,3.2470522,1.9315685
88,3.2928965,1.9691631
89,3.2285526,2.1006095
90,3.1730838,2.0231323
91,3.3268545,2.1104121
92,3.2809684,2.129059
93,3.3536575,2.1285753
94,3.3595762,2.2201746
95,3.4463835,2.1312735
96,3.4800022,2.3180647
97,3.3439808,2.1718125
98,3.3960183,2.2674956
99,3.3972902,2.1439004
100,3.4003272,2.1190565
101,3.467476,2.2846682
102,3.2853746,2.0880048
103,3.3868678,2.1467369
104,3.4465988,2.2843127
105,3.325842,2.3106782
106,3.3571386,2.1943705
107,3.363078,2.2854252
108,3.2499533,2.1923814
109,3.3455198,2.2229757
110,3.4607863,2.2342358
111,3.497001,2.167173
112,3.5843344,2.4090416
113,3.8688188,2.6847591
114,4.4085,3.2981722
